label,variance,skewness,curtosis,entropy
1,2.805,0.57732,1.3424,1.2133
-1,-2.7083,-6.8266,7.5339,0.59007
1,2.6104,8.0081,-0.23592,-1.7608
1,4.6361,-2.6611,2.8358,1.1991
1,-1.9458,11.2217,1.9079,-3.4405
-1,-0.29858,2.4769,-2.9512,-0.66165
-1,-0.64326,2.4748,-2.9452,-1.0276
-1,-1.2846,3.2715,-1.7671,-3.2608
1,2.5559,3.3605,2.0321,0.26809
1,0.72252,-0.053811,5.6703,-1.3509
1,2.7744,6.8576,-1.0671,0.075416
-1,-1.3887,-4.8773,6.4774,0.34179
1,1.8205,6.7562,0.0099913,0.39481
1,4.0422,-4.391,4.7466,1.137
1,1.3754,8.8793,-1.9136,-0.53751
1,2.877,-4.0599,3.6259,-0.32544
-1,-3.9204,4.0723,-0.23678,-2.1151
-1,-3.7244,1.9037,-0.035421,-2.5095
-1,-4.0173,-8.3123,12.4547,-1.4375
1,1.7819,6.9176,-1.2744,-1.5759
1,5.2032,3.5116,-1.2538,1.0129
-1,0.89512,4.7738,-4.8431,-5.5909
1,1.7257,-4.4697,8.2219,-1.8073
-1,-1.8448,1.254,0.27218,-1.0728
1,3.5358,6.7086,-0.81857,0.47886
1,5.6084,10.3009,-4.8003,-4.3534
1,4.8906,-3.3584,3.4202,1.0905
1,-1.1391,1.8127,6.9144,0.70127
1,5.086,3.2798,-1.2701,1.1189
-1,0.26877,4.987,-5.1508,-6.3913
1,2.1464,6.0795,-0.5778,-2.2302
1,5.2423,11.0272,-4.353,-4.1013
1,1.9429,6.3961,0.092248,0.58102
1,3.7831,10.0526,-3.8869,-3.7366
-1,-5.3857,9.1214,-0.41929,-5.9181
-1,1.2309,3.8923,-4.8277,-4.0069
-1,-1.2943,2.6735,-0.84085,-2.0323
-1,-3.1128,-6.841,10.7402,-1.0172
1,1.3419,-4.4221,8.09,-1.7349
1,3.8905,-2.1521,2.6302,1.1047
1,0.92703,9.4318,-0.66263,-1.6728
-1,-0.77995,3.2322,-3.282,-3.1004
1,-2.2153,11.9625,0.078538,-7.7853
1,2.1265,6.8783,0.44784,-2.2224
-1,-0.9607,2.6963,-3.1226,-1.3121
-1,-1.7279,-6.841,8.9494,0.68058
-1,0.24261,0.57318,-1.9402,0.44007
-1,-2.0891,-0.48422,1.704,1.7435
1,2.6917,10.8161,-3.3,-4.2888
-1,0.60731,3.9544,-4.772,-4.4853
-1,-0.8734,-0.033118,-0.20165,0.55774
1,-1.8411,10.8306,2.769,-3.0901
1,2.4235,9.5332,-3.0789,-2.7746
-1,-4.5046,-5.8126,10.8867,-0.52846
-1,0.75108,1.9161,-3.1098,-0.20518
-1,-4.577,3.4515,0.66719,-0.94742
1,1.5799,-4.7076,7.9186,-1.5487
1,-2.7419,11.4038,2.5394,-5.5793
1,3.0672,-4.4117,3.8238,-0.81682
1,-0.048008,-1.6037,8.4756,0.75558
1,3.8584,0.78425,1.1033,1.7008
1,1.8114,7.6067,-0.9788,-2.4668
-1,-0.7351,1.7361,-1.4938,-1.1582
-1,-0.83121,0.039307,0.05369,-0.23105
-1,-4.0214,-12.8006,15.6199,-0.95647
1,0.14783,7.946,1.0742,-3.3409
1,2.2091,7.4556,-1.3284,-3.3021
1,3.6894,9.887,-4.0788,-4.3664
-1,-0.41965,2.9094,-1.7859,-2.2069
-1,-2.1979,-2.1252,1.7151,0.45171
1,-1.9667,11.8052,-0.40472,-7.8719
-1,-2.0285,3.8468,-0.63435,-1.175
1,-1.1313,1.9037,7.5339,1.022
-1,-1.5951,-6.572,4.7689,-0.94354
1,1.0235,6.901,-2.0062,-2.7125
