label,variance,skewness,curtosis,entropy
1,5.1213,8.5565,-3.3917,-1.5474
-1,-3.8952,3.8157,-0.31304,-3.8194
-1,-1.6662,-0.30005,1.4238,0.024986
-1,-1.6641,-1.3678,1.997,0.52283
-1,-0.3489,3.1929,-3.4054,-3.1832
1,4.0127,10.1477,-3.9366,-4.0728
-1,-6.5773,6.8017,0.85483,-7.5344
-1,-2.4198,-0.24418,0.70146,0.41809
1,2.5605,9.2683,-3.5913,-1.356
-1,-2.3629,-0.10554,1.9336,1.1358
1,0.64295,7.1018,0.3493,-0.41337
1,2.0165,-0.25246,5.1707,1.0763
1,1.7452,4.8028,2.0878,0.62627
-1,-2.2625,-0.099335,2.8127,0.48662
1,1.742,-4.809,8.2142,-2.0659
-1,-2.4115,-9.1359,9.3444,-0.65259
1,3.4916,8.5709,-3.0326,-0.59182
-1,-2.258,-9.3263,9.3727,-0.85949
-1,2.2279,4.0951,-4.8037,-2.1112
-1,-3.2854,4.0372,-0.45356,-1.8228
1,4.2458,1.1981,0.66633,0.94696
1,3.106,9.5414,-4.2536,-4.003
-1,-2.456,-0.24418,1.4041,-0.45863
1,3.4769,-0.15314,2.53,2.4495
-1,-4.0679,2.4955,0.79571,-1.1039
1,4.0446,11.1741,-4.3582,-4.7401
-1,-2.4554,-9.0407,8.862,-0.86983
-1,-1.48,-10.5244,9.9176,-0.5026
-1,-2.9883,0.31245,0.45041,0.068951
1,-1.5768,10.843,2.5462,-2.9362
1,4.0948,-2.9674,2.3689,0.75429
1,4.0215,-2.7004,2.4957,0.36636
1,-1.3,10.2678,-2.953,-5.8638
-1,-0.87834,3.257,-3.6778,-3.2944
-1,-0.56877,1.4174,-1.4252,-1.1246
1,2.2034,5.9947,0.53009,0.84998
1,0.85574,0.0082678,6.6042,-0.53104
1,4.0524,5.6802,-1.9693,0.026279
-1,-2.7723,3.2777,-0.9351,-3.1457
1,0.5706,-0.0248,1.2421,-0.5621
-1,-1.6029,-0.38903,1.62,1.9103
-1,-3.3553,0.35591,2.6473,-0.37846
1,2.5227,2.2369,2.7236,0.79438
-1,-1.9389,1.5706,0.045979,-1.122
-1,0.030219,-1.0512,1.4024,0.77369
1,4.1605,11.2196,-3.6136,-4.0819
-1,-2.8957,-12.0205,11.9149,-2.7552
-1,-0.28696,3.1784,-3.5767,-3.1896
1,1.3638,-4.7759,8.4182,-1.8836
-1,-2.3142,2.0838,-0.46813,-1.6767
1,4.2899,9.1814,-4.6067,-4.3263
1,3.2303,7.8384,-3.5348,-1.2151
1,2.1526,-6.1665,8.0831,-0.34355
1,2.8523,9.0096,-3.761,-3.3371
1,4.052,-0.16555,0.45383,0.51248
-1,-2.2482,3.0915,-2.3969,-2.6711
1,1.5099,0.039307,6.2332,-0.30346
1,3.5156,10.1891,-4.2759,-4.978
1,4.8278,7.7598,-2.4491,-1.2216
1,0.81356,9.1566,-2.1492,-4.1814
-1,-0.77288,-7.4473,6.492,0.36119
1,0.86202,2.6963,4.2908,0.54739
-1,-3.3924,3.3564,-0.72004,-3.5233
1,1.4884,3.6274,3.308,0.48921
1,-1.2576,1.5892,7.0078,0.42455
1,-1.803,11.8818,2.0458,-5.2728
1,3.884,10.0277,-3.9298,-4.0819
-1,-1.7479,-5.823,5.8699,1.212
-1,-2.5526,-7.3625,6.9255,-0.66811
-1,-2.9098,-10.0712,8.4156,-1.9948
-1,-2.5912,-0.10554,1.2798,1.0414
1,5.7456,10.1808,-4.7857,-4.3366
-1,-1.5877,-6.6072,5.8022,0.31593
-1,0.31803,-0.99326,1.0947,0.88619
1,0.3292,-4.4552,4.5718,-0.9888
1,2.4486,-6.3175,7.9632,0.20602
1,0.76163,5.8209,1.1959,-0.64613
-1,-1.1005,-7.2508,6.0139,0.36895
1,1.0191,2.33,4.9334,0.82929
1,2.3718,7.4908,0.015989,-1.7414
1,1.1811,8.3847,-2.0567,-0.90345
-1,0.88992,2.2638,-3.1046,-0.11855
1,3.5152,6.8224,-0.67377,-0.46898
1,2.7659,0.66216,4.1494,-0.28406
-1,1.164,3.913,-4.5544,-3.8672
-1,-2.3299,-9.9532,8.4756,-1.8733
-1,-0.49948,1.7734,-2.2469,-0.68104
1,1.0607,2.4542,2.5188,-0.17027
-1,-1.9409,-8.6848,9.155,0.94049
1,5.262,3.9834,-1.5572,1.0103
-1,-1.7582,2.7397,-2.5323,-2.234
-1,-1.7263,-6.0237,5.2419,0.29524
1,0.96788,7.1907,1.2798,-2.4565
1,2.2928,9.0386,-3.2417,-1.2991
1,1.7747,-6.4334,8.15,-0.89828
1,0.49665,5.527,1.7785,-0.47156
-1,2.031,1.852,-3.0121,0.003003
1,1.7317,-0.34765,4.1905,-0.99138
-1,-5.119,6.6486,-0.049987,-6.5206
-1,-1.2369,-1.6906,2.518,0.51636
1,4.9264,5.496,-2.4774,-0.50648
1,1.8967,-2.5163,2.8093,-0.79742
1,2.9571,-4.5938,5.9068,0.57196
-1,-3.9297,-6.0816,10.0958,-1.0147
1,3.9772,0.33521,2.2566,2.1625
-1,-3.2692,-12.7406,15.5573,-0.14182
1,3.583,-3.7971,3.4391,-0.12501
-1,-4.1429,2.7749,0.68261,-0.71984
1,4.1197,-2.7956,2.0707,0.67412
-1,-4.3667,6.0692,0.57208,-5.4668
1,2.4008,9.3593,-3.3565,-3.3526
1,1.8994,0.97462,4.2265,0.81377
-1,0.23874,2.0879,-3.3522,-0.66553
-1,-1.3995,-1.9162,2.5154,0.59912
-1,0.11592,3.2219,-3.4302,-2.8457
1,-1.6162,0.80908,8.1628,0.60817
-1,-2.7338,0.45523,2.4391,0.21766
1,3.2032,5.7588,-0.75345,-0.61251
1,3.3848,3.2674,0.90967,0.25128
1,3.866,-2.6383,1.9242,0.10645
-1,0.0096613,3.5612,-4.407,-4.4103
1,0.93611,8.6413,-1.6351,-1.3043
1,2.8209,7.3108,-0.81857,-1.8784
1,0.56953,7.6294,1.5754,-3.2233
1,5.0452,3.8964,-1.4304,0.86291
1,1.5691,6.3465,-0.1828,-2.4099
-1,-4.9462,3.5716,0.82742,-1.4957
1,1.6426,3.0149,0.22849,-0.147
1,1.3566,4.2358,2.1341,0.3211
-1,-5.4901,9.1048,-0.38758,-5.9763
-1,-1.4454,-8.4385,8.8483,0.96894
1,-2.343,12.9516,3.3285,-5.9426
1,2.9742,8.96,-2.9024,-1.0379
1,0.5706,-0.024841,1.2421,-0.56208
-1,0.52374,3.644,-4.0746,-1.9909
-1,-3.0731,-0.53181,2.3877,0.77627
-1,-3.3582,-7.2404,11.4419,-0.57113
1,1.8216,-6.4748,8.0514,-0.41855
-1,-5.0477,-5.8023,11.244,-0.3901
1,-2.4473,12.6247,0.73573,-7.6612
-1,-3.8483,-12.8047,15.6824,-1.281
1,5.438,9.4669,-4.9417,-3.9202
1,3.8244,-3.1081,2.4537,0.52024
1,0.9297,-3.7971,4.6429,-0.2957
1,0.52855,0.96427,4.0243,-1.0483
-1,-2.2918,-7.257,7.9597,0.9211
1,3.2585,-4.4614,3.8024,-0.15087
