label,variance,skewness,curtosis,entropy
-1,-2.5419,-0.65804,2.6842,1.1952
-1,0.11806,0.39108,-0.98223,0.42843
-1,-1.8215,2.7521,-0.72261,-2.353
1,5.2418,10.5388,-4.1174,-4.2797
1,0.9297,-3.7971,4.6429,-0.2957
-1,-1.2792,2.1376,-0.47584,-1.3974
1,3.7022,6.9942,-1.8511,-0.12889
-1,-1.5681,-7.2446,6.5537,-0.1276
-1,-1.8483,0.31038,0.77344,1.4189
-1,-2.0545,-10.8679,9.4926,-1.4116
1,2.3066,3.5364,0.57551,0.41938
-1,-2.3518,-4.8359,6.6479,-0.060358
1,4.3846,-4.8794,3.3662,-0.029324
1,5.1776,8.2316,-3.2511,-1.5694
1,2.2504,3.5757,0.35273,0.2836
1,1.8533,6.1458,1.0176,-2.0401
-1,-2.5724,-0.95602,2.7073,-0.16639
-1,-1.005,0.084831,-0.2462,0.45688
1,3.0333,-2.5928,2.3183,0.303
-1,-0.62684,-6.301,4.7843,1.106
1,0.27451,9.2186,-3.2863,-4.8448
-1,-6.3364,9.2848,0.014275,-6.7844
-1,-0.036127,1.525,-1.4089,-0.76121
1,3.1088,3.1122,0.80857,0.4336
1,0.5706,-0.0248,1.2421,-0.5621
1,0.89566,7.7763,-2.7473,-1.9353
-1,-1.6386,3.3584,-1.7302,-3.5646
-1,-1.366,0.18416,0.90539,1.5806
1,3.7635,2.7811,0.66119,0.34179
1,3.6289,0.81322,1.6277,0.77627
1,-1.9177,11.6894,2.5454,-3.2763
1,-2.6479,10.1374,-1.331,-5.4707
1,1.6349,3.286,2.8753,0.087054
1,4.3634,0.46351,1.4281,2.0202
-1,-2.8619,4.5193,-0.58123,-4.2629
1,3.9433,2.5017,1.5215,0.903
1,2.9499,2.2493,1.3458,-0.037083
1,3.2697,-4.3414,3.6884,-0.29829
-1,-2.7908,-5.7133,5.953,0.45946
1,3.8417,10.0215,-4.2699,-4.9159
1,4.7285,2.1065,-0.28305,1.5625
1,-0.27802,8.1881,-3.1338,-2.5276
1,-1.3885,12.5026,0.69118,-7.5487
-1,-4.8861,7.0542,-0.17252,-6.959
1,0.21084,9.4359,-0.094543,-1.859
1,3.8846,-3.0336,2.5334,0.20214
1,0.3223,-0.89808,8.0883,0.69222
1,2.6881,6.0195,-0.46641,-0.69268
-1,-0.8172,3.3812,-3.6684,-3.456
1,0.77805,6.6424,-1.1425,-1.0573
-1,-2.5919,-1.0553,3.8949,0.77757
1,4.3848,-3.0729,3.0423,1.2741
-1,-1.2667,2.8183,-2.426,-1.8862
-1,-2.7028,1.6327,0.83598,-0.091393
1,1.8799,2.4707,2.4931,0.37671
1,1.934,-9.2828e-06,4.816,-0.33967
-1,-4.1244,3.7909,-0.6532,-4.1802
1,3.7798,-3.3109,2.6491,0.066365
1,3.9479,-3.7723,2.883,0.019813
1,4.2134,-2.806,2.0116,0.67412
1,0.94225,5.8561,1.8762,-0.32544
1,3.8644,3.7061,0.70403,0.35214
1,4.7072,8.2957,-2.5605,-1.4905
1,3.5288,0.71596,1.9507,1.9375
-1,-1.4375,-1.8624,4.026,0.55127
-1,-6.7526,8.8172,-0.061983,-3.725
-1,1.7875,4.78,-5.1362,-3.2362
1,2.2517,-5.1422,4.2916,-1.2487
1,0.17346,7.8695,0.26876,-3.7883
1,2.3925,9.798,-3.0361,-2.8224
-1,-1.5252,-6.2534,5.3524,0.59912
1,5.8862,5.8747,-2.8167,-0.30087
1,5.591,10.4643,-4.3839,-4.3379
1,2.7296,2.8701,0.51124,0.5099
1,2.5698,-4.4076,5.9856,0.078002
-1,-4.1409,3.4619,-0.47841,-3.8879
1,1.1472,3.5985,1.9387,-0.43406
-1,-3.3203,-0.02691,2.9618,-0.44958
-1,-4.2249,6.2699,0.15822,-5.5457
1,0.01727,8.693,1.3989,-3.9668
-1,-1.786,-8.1157,7.0858,-1.2112
-1,-0.71494,-4.4448,2.2241,0.49826
-1,-6.2815,6.6651,0.52581,-7.0107
1,3.6702,2.9942,0.85141,0.30688
1,1.2616,4.4303,-1.3335,-1.7517
1,4.4295,-2.3507,1.7048,0.90946
-1,-1.8343,-6.5907,5.6429,0.54998
1,2.3164,-2.628,3.1529,-0.08622
-1,-0.93587,-5.1008,4.5367,1.3866
1,3.2422,6.2265,0.12224,-1.4466
-1,-4.4861,-13.2889,17.3087,-3.2194
1,4.4072,-0.070365,2.0416,1.1319
-1,0.11032,1.9741,-3.3668,-0.65259
1,6.8248,5.2187,-2.5425,0.5461
1,4.1454,7.257,-1.9153,-0.86078
-1,-1.6677,-7.1535,7.8929,0.96765
1,2.6213,5.7919,0.065686,-1.5759
1,1.8993,7.6625,0.15394,-3.1108
1,2.0962,2.4769,1.9379,-0.040962
-1,-1.0555,0.79459,-1.6968,-0.46768
-1,-2.6406,-4.4159,5.983,-0.13924
1,-1.7781,0.8546,7.1303,0.027572
-1,-2.1241,-6.8969,5.5992,-0.47156
1,-0.64472,-4.6062,8.347,-2.7099
1,-1.8584,7.886,-1.6643,-1.8384
-1,-3.5916,-6.2285,10.2389,-1.1543
-1,-2.8829,3.8964,-0.1888,-1.1672
1,1.3264,1.0326,5.6566,-0.41337
-1,-2.588,3.8654,-0.3336,-1.2797
-1,0.15423,0.11794,-1.6823,0.59524
-1,-5.873,9.1752,-0.27448,-6.0422
1,5.8782,5.9409,-2.8544,-0.60863
1,5.0297,-4.9704,3.5025,-0.23751
-1,-2.3147,3.6668,-0.6969,-1.2474
1,0.5195,-3.2633,3.0895,-0.9849
1,3.7767,9.7794,-3.9075,-3.5323
1,-0.38388,-1.0471,8.0514,0.49567
1,1.2706,8.035,-0.19651,-2.1888
1,4.7965,6.9859,-1.9967,-0.35001
-1,-1.1306,1.8458,-1.3575,-1.3806
-1,-2.2811,-0.85669,2.7185,0.044382
-1,-3.0265,-0.062088,0.68604,-0.055186
-1,-0.025314,-0.17383,-0.11339,1.2198
1,3.7758,7.1783,-1.5195,0.40128
-1,-2.6286,0.18002,1.7956,0.97282
1,0.3292,-4.4552,4.5718,-0.9888
-1,-1.7589,-6.4624,8.4773,0.31981
1,4.364,-3.1039,2.3757,0.78532
1,1.2247,8.7779,-2.2135,-0.80647
-1,-1.3946,2.3134,-0.44499,-1.4905
-1,-0.51003,-0.23591,0.020273,0.76334
1,4.0215,-2.1914,2.4648,1.1409
1,0.75736,3.0294,2.9164,-0.068117
-1,-4.2091,4.7283,-0.49126,-5.2159
1,1.5478,9.1814,-1.6326,-1.7375
